Unnamed: 0,Year,Mean male height (cm),Mean female height (cm),gdp_per_capita,output_quantity,daily_calories,number_employed_agri,animal_fats_kcal,veg_oils_kcal,sugar_crops_kcal,milk_kcal,fruit_kcal,under_five_mortality_selected,stunting_percent,healthcare_spending_per_capita,vaccine_mcv1_coverage,vaccine_pol3_coverage,sanitation_access_percent,nox_emissions
0,1960,170.7061585,159.3853209,6000.0,1086853516000.0,2183.74,1033847225.6901388,70.603615,112.36913,1.9888341,117.34122,50.71527,9.30313,40.2,591.752,16.0,21.0,55.540985,49129108.0
1,1961,170.8087703,159.4543161,6220.0,1086853516000.0,2183.74,1033847225.6901388,70.603615,112.36913,1.9888341,117.34122,50.71527,9.30313,40.2,591.752,16.0,21.0,55.540985,50744584.0
2,1962,170.9068061,159.5192782,6440.0,1121847802000.0,2229.9001,1033847225.6901388,71.5795,118.305,1.9883194,116.31668,51.696304,9.30313,40.2,591.752,16.0,21.0,55.540985,52814070.0
3,1963,170.9983692,159.5784691,6660.0,1150329307000.0,2233.9036,1033847225.6901388,71.358055,120.91226,1.9821682,116.94792,52.52746,9.30313,40.2,591.752,16.0,21.0,55.540985,55988910.0
4,1964,171.0816892,159.6304787,6880.0,1188645028000.0,2260.0146,1033847225.6901388,71.15044,124.51327,1.976401,115.61946,53.362827,9.30313,40.2,591.752,16.0,21.0,55.540985,59543544.0
5,1965,171.1572434,159.67491,7100.0,1214757548000.0,2279.4038,1033847225.6901388,71.04636,128.27814,1.9735098,113.476814,54.27152,9.30313,40.2,591.752,16.0,21.0,55.540985,62419676.0
6,1966,171.2263058,159.7123287,7320.0,1258850479000.0,2295.2976,1033847225.6901388,70.032715,130.20166,1.9727525,114.41965,55.23707,9.30313,40.2,591.752,16.0,21.0,55.540985,64767884.0
7,1967,171.2901518,159.7437522,7540.0,1303962670000.0,2299.2615,1033847225.6901388,71.05014,131.24539,1.9736149,114.469666,56.248028,9.30313,40.2,591.752,16.0,21.0,55.540985,68044770.0
8,1968,171.3499921,159.769425,7760.0,1342358905000.0,2303.4976,1033847225.6901388,72.04598,133.23573,1.9738626,116.45789,56.255085,9.30313,40.2,591.752,16.0,21.0,55.540985,72959860.0
9,1969,171.4076404,159.7898812,7980.0,1349851121000.0,2312.3752,1033847225.6901388,69.085045,135.2093,1.9738585,116.45765,57.241894,9.30313,40.2,591.752,16.0,21.0,55.540985,75124040.0
10,1970,171.4636356,159.8050857,8200.0,1391969158000.0,2357.6013,1033847225.6901388,69.07999,139.14684,1.973714,115.462265,57.237705,9.30313,40.2,591.752,16.0,21.0,55.540985,80182880.0
11,1971,171.5178649,159.8156747,8370.0,1426792221000.0,2334.1072,1033847225.6901388,68.09869,140.14513,1.973875,115.47169,57.242374,9.30313,40.2,591.752,16.0,21.0,55.540985,82780340.0
12,1972,171.5700032,159.8220791,8540.0,1420778954000.0,2321.8433,1033847225.6901388,68.115295,142.15367,1.9743564,114.51267,55.281982,9.30313,40.2,591.752,16.0,21.0,55.540985,86449790.0
13,1973,171.6198873,159.8248836,8710.0,1500117298000.0,2358.5105,1033847225.6901388,67.13215,144.13667,1.974475,111.55784,56.272537,9.30313,40.2,591.752,16.0,21.0,55.540985,91486290.0
14,1974,171.6664712,159.8249914,8880.0,1511680488000.0,2350.712,1033847225.6901388,66.14771,149.07918,2.9618378,113.53712,56.274918,9.30313,40.2,591.752,16.0,21.0,55.540985,90390120.0
15,1975,171.7085497,159.821912,9050.0,1541570144000.0,2366.009,1033847225.6901388,66.161354,149.10991,2.9624486,112.573044,56.286522,9.30313,40.2,591.752,16.0,21.0,55.540985,89880410.0
16,1976,171.7444474,159.8153662,9220.0,1577970429000.0,2359.5437,1033847225.6901388,67.16156,156.05186,2.96301,113.58205,57.28486,9.30313,40.2,591.752,16.0,21.0,55.540985,93961840.0
17,1977,171.7722705,159.8050379,9390.0,1616870795000.0,2388.1965,1033847225.6901388,66.17418,160.99092,2.963023,112.59487,56.297436,9.30313,40.2,591.752,16.0,21.0,55.540985,96783896.0
18,1978,171.7916035,159.7913479,9560.0,1690682125000.0,2446.153,1033847225.6901388,67.153175,167.88293,2.96264,112.58032,57.277706,9.30313,40.2,591.752,16.0,21.0,55.540985,99147870.0
19,1979,171.8028264,159.7749872,9730.0,1709290258000.0,2444.2083,1033847225.6901388,68.114044,168.80437,2.9614801,112.53624,59.229603,9.30313,40.2,591.752,16.0,21.0,55.540985,101656240.0
20,1980,171.8070764,159.7579136,9900.0,1713088556000.0,2456.6252,1033847225.6901388,68.07516,177.58736,1.9731929,112.472,60.182384,9.30313,40.2,591.752,16.0,21.0,55.540985,100580060.0
21,1981,171.8057104,159.7412493,10036.2591,1769997797000.0,2465.9656,1033847225.6901388,66.061455,182.4085,2.9579756,112.40307,58.17352,9.30313,40.2,591.752,19.0,22.0,55.540985,98605340.0
22,1982,171.7990974,159.7260667,10172.5182,1828676558000.0,2493.4868,1033847225.6901388,65.02178,188.16908,1.970357,112.31035,60.095886,9.30313,40.2,591.752,20.0,41.0,55.540985,96245330.0
23,1983,171.7865433,159.7126559,10308.7773,1837763300000.0,2535.4656,1033847225.6901388,66.95598,189.05219,2.9539404,113.23438,60.063454,9.30313,40.2,591.752,36.0,42.0,55.540985,96134936.0
24,1984,171.7682057,159.7003503,10445.0364,1931996526000.0,2544.1062,1033847225.6901388,66.950165,191.98944,2.9536836,115.193665,60.058235,9.30313,40.2,591.752,40.0,46.0,55.540985,98691630.0
25,1985,171.7435146,159.6882611,10581.2955,1967625467000.0,2547.081,1033847225.6901388,67.93529,196.91388,2.9537082,118.14832,61.0433,9.30313,40.2,591.752,46.0,50.0,55.540985,100142420.0
26,1986,171.7129702,159.6755632,10717.5546,2004018333000.0,2549.1733,1033847225.6901388,64.98472,203.8157,2.9538507,118.15404,63.015484,9.30313,40.2,591.752,46.0,50.0,55.540985,102530770.0
27,1987,171.6769548,159.6613865,10853.8137,2031416655000.0,2566.8206,1033847225.6901388,63.99821,205.77887,2.9537637,117.165955,63.013622,9.30313,40.2,591.752,53.0,56.0,55.540985,106120110.0
28,1988,171.6367289,159.645182,10990.0728,2054913398000.0,2583.6492,1033847225.6901388,64.00046,212.67844,2.9538672,115.20082,63.015835,9.30313,40.2,591.752,62.0,64.0,55.540985,109845510.0
29,1989,171.5939577,159.6275198,11126.331900000001,2127410356000.0,2594.0737,1033847225.6901388,63.990433,216.58301,2.9534047,116.167244,63.990433,9.30313,40.2,591.752,67.0,70.0,55.540985,112365170.0
30,1990,171.5494336,159.6083919,11262.591,2183780959000.0,2579.3457,1033847225.6901388,62.98288,219.45598,2.9523225,115.14058,61.99877,9.30313,40.2,591.752,73.0,75.0,55.540985,112989820.0
31,1991,171.5045074,159.5891279,11168.17,2183333728000.0,2557.8865,1033847225.6901388,59.988876,217.33675,2.9502726,112.11036,61.955727,9.202696,39.6,591.752,68.0,71.0,55.540985,113508136.0
32,1992,171.4597597,159.5698647,11127.493,2235427823000.0,2565.3564,1047228905.9094968,59.956608,217.21985,2.9486856,111.06716,64.871086,9.14015,39.0,591.752,68.0,69.0,55.540985,113892470.0
33,1993,171.4151221,159.5505768,11117.146,2253666928000.0,2566.9763,1047274222.2309488,58.875603,216.85847,2.9437802,110.882385,65.74442,9.022022,38.2,591.752,69.0,70.0,55.540985,114889580.0
34,1994,171.3702529,159.5309484,11237.744,2316841661000.0,2588.2222,1049295055.7233328,57.86476,220.6707,2.942276,113.768005,66.69159,8.92499,37.5,591.752,71.0,72.0,55.540985,114800024.0
35,1995,171.3253761,159.5113079,11410.432,2374773092000.0,2610.1233,1044119898.2325492,56.84835,224.45297,2.9404318,115.65699,67.62994,8.736313,36.7,591.752,73.0,73.0,55.540985,116372136.0
36,1996,171.2803524,159.4916899,11655.746,2469154277000.0,2617.7515,1045036086.61816,54.84253,226.22543,2.9379926,116.540375,70.511826,8.556086,35.8,591.752,73.0,73.0,55.540985,117457910.0
37,1997,,,11939.21,2520480952000.0,2628.8784,1052938907.2875588,53.81031,230.89516,3.9134772,116.42595,71.42096,8.358108,35.0,591.752,71.0,73.0,55.540985,118230090.0
38,1998,,,12062.652,2563333804000.0,2639.7783,1068687931.233662,54.730686,229.67342,5.864002,117.28004,71.34536,8.143391,34.2,591.752,70.0,72.0,55.540985,117673250.0
39,1999,,,12324.528,2647003668000.0,2650.6294,1088168078.3223732,55.64857,234.30978,5.8577447,118.13118,73.22181,7.905146,33.5,591.752,71.0,73.0,55.540985,116325576.0
40,2000,,,12739.303,2698477287000.0,2659.2173,1102245817.240786,56.558342,238.91023,3.9005754,117.01726,75.086075,7.6374993,33.0,591.752,71.0,73.0,55.540985,118712640.0
41,2001,,,12872.325,2740478389000.0,2653.9727,1107241266.968424,56.488224,239.588,3.8957398,116.87219,74.01905,7.37906,32.5,631.52155,72.0,73.0,56.303047,118295380.0
42,2002,,,13052.895,2782928110000.0,2653.9026,1117408158.2809331,57.397453,243.20955,3.8913527,117.71342,76.85422,7.1234794,32.2,669.83966,72.0,74.0,57.497303,118512860.0
43,2003,,,13357.009,2857484538000.0,2657.9585,1121247500.114404,58.309875,242.95781,3.887325,119.53524,77.7465,6.835016,31.8,709.6008,73.0,75.0,58.655506,121921500.0
44,2004,,,13862.906,2994149977000.0,2666.9324,1109222662.6100426,58.251163,247.56744,3.883411,121.35659,79.609924,6.58415,31.5,748.34174,75.0,75.0,59.82464,126374130.0
45,2005,,,14312.547,3053119726000.0,2677.8682,1099913207.931075,58.193443,254.11136,3.8795629,123.17612,81.47082,6.2923336,31.1,791.25684,77.0,78.0,61.018642,129247760.0
46,2006,,,14865.125,3122331995000.0,2692.6128,1079285290.690775,58.134857,258.7001,3.875657,125.958855,84.29554,6.032346,30.7,847.37537,78.0,79.0,62.22552,132362140.0
47,2007,,,15441.272,3212325736000.0,2716.6968,1064799244.3776844,58.069756,262.28174,3.871317,128.72128,85.168976,5.777606,30.1,895.1963,79.0,80.0,63.44571,135931500.0
48,2008,,,15670.501,3339476140000.0,2730.8528,1058916748.9235488,58.000412,260.0352,3.8666942,128.56758,87.00062,5.552567,29.5,944.3715,81.0,82.0,64.668106,136163920.0
49,2009,,,15365.197,3366709366000.0,2727.4556,1052646729.2952608,56.96279,264.53906,2.896413,130.3386,87.857864,5.310115,28.7,1001.25,83.0,83.0,65.883286,128155320.0
50,2010,,,15951.768,3450565328000.0,2788.56,1041562666.4979968,60.27967,268.03876,3.3970087,138.8441,99.76374,5.1234393,27.9,1025.1694,84.0,83.0,67.0905,127496340.0
51,2011,,,16377.912,3576959974000.0,2808.1138,1020589879.928104,60.921837,267.84348,3.6814942,140.23146,101.497025,4.9339614,27.1,1069.2502,84.0,83.0,68.19797,132310000.0
52,2012,,,16674.361,3630446042000.0,2827.4724,1002607302.1919411,61.36467,275.08777,3.5602386,142.51833,103.40515,4.740857,26.3,1111.274,84.0,84.0,69.388054,131314110.0
53,2013,,,17001.469,3768860942000.0,2832.8196,986456899.5073972,61.508453,273.52032,3.796696,141.55547,105.30888,4.5825486,25.7,1159.6512,84.0,84.0,70.57886,129140320.0
54,2014,,,17370.57,3850118062000.0,2863.721,966453361.8524672,63.368027,279.4026,4.191582,144.86662,105.906654,4.425172,25.1,1200.9752,84.0,84.0,71.76843,126719810.0
55,2015,,,17734.984,3903762872000.0,2861.711,957444807.9722044,63.76667,279.64023,4.171374,143.70483,107.40794,4.306791,24.6,1241.323,84.0,85.0,72.95581,125125180.0
56,2016,,,18098.455,3977128949000.0,2869.429,950193218.7130176,63.564545,280.965,4.220504,144.83148,106.451584,4.1760054,24.1,1288.448,85.0,85.0,74.13306,123683480.0
57,2017,,,18575.725,4100473301000.0,2892.3281,943235115.4665756,64.16018,288.35013,4.29975,146.31999,107.76063,4.0564065,23.7,1326.3167,85.0,86.0,75.23832,123489610.0
58,2018,,,19046.809,4154518574000.0,2901.4026,933363832.271501,65.47951,289.9129,3.7563727,149.57283,110.40771,3.9994938,23.3,1378.3684,86.0,86.0,76.334274,122251030.0
59,2019,,,19401.693,4201747674000.0,2919.5242,927918027.783214,65.92327,299.32434,4.2396936,156.6111,112.49055,3.9261734,23.0,1438.9507,86.0,86.0,77.42786,119787080.0
60,2020,,,18662.168,4201747674000.0,2929.8772,927918027.783214,64.8693,302.6111,4.7255125,160.62779,113.986885,3.8698297,22.7,1547.4677,83.0,83.0,78.47942,109981600.0
61,2021,,,19702.84,4201747674000.0,2946.555,927918027.783214,67.039444,306.8199,4.765884,164.90355,116.59077,3.8053443,22.5,1631.5106,81.0,81.0,79.83035,113420810.0
